Latitude,Longitude,Year,Theatre
10.7904833,78.7046725,1743,Land
10.7904833,78.7046725,1751,Land
10.7904833,78.7046725,1753,Land
10.7904833,78.7046725,1753,Land
10.7904833,78.7046725,1753,Land
10.7904833,78.7046725,1757,Land
11.2618308,75.7570458,1782,Land
32.0426925,75.3909059,1857,Land
8.5873638,81.2152121,1639,Land
8.6487883,81.3724983,1782,Sea
8.5873638,81.2152121,1795,Land and Sea
8.5873638,81.2152121,1942,Sea and Air
8.5873638,81.2152121,1767,Land
27.790012,91.72177,1962,Land
21.88344,87.2770576,1575,Land
14.8794069,79.2961406,1513,Land
25.0549952,87.8262282,1763,Land
18.3942882,77.1126009,1760,Land
23.1793013,75.7849097,1801,Land
17.3929467,75.7313342,1673,Land
26.5393449,80.4878195,1857,Land
34.0881166,74.0339852,1947,Land
12.6950325,78.6218853,1767,Land
15.918622,75.676082,642,Land
12.9165167,79.1324986,1677,Land
12.9165167,79.1324986,1806,Land
12.9165167,79.1324986,917,Land
12.1597356,79.6646225,830,Land
12.9719161,77.5298856,1406,Land
12.8184766,79.6859038,731,Land
11.5907448,78.4118892,850,Land
10.9272263,78.7980053,1751,Land
16.5119876,76.6932438,1705,Land
34.0286311,71.3377074,1006,Land
34.0286311,71.3377074,1008,Land
12.5052548,79.5961188,1760,Land
17.9689008,79.5940544,1309,Land
17.9689008,79.5940544,1322,Land
16.5103173,73.6477342,1779,Land
18.961366,95.3410033,1825,Land
20.4593254,94.8779969,1942,Land
34.2792403,75.4707691,1948,Land
